"Source:","C:\Projects\Pixels-dice\Electrical\Dice\D6\D6v3\Main.kicad_sch"
"Date:","7/26/2022 10:32:05 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"32","1","U1","N52810_QFN32","Pixels-dice:N52810_QFN32","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","","NO","Nordic Semiconductor","NRF52810-QCAA-R","SMD-U001"
"33","1","U2","KXTJ3-1057","Pixels-dice:KXTJ3-1057","Package_LGA:LGA-12_2x2mm_P0.5mm","","NO","Kionix","KXTJ3-1057","SMD-U002-ALT1"
"34","1","U3","PJ75AL50SA","Pixels-dice:HX6306P502MR","Pixels-dice:SOT-23","","NO","PJSEMI","PJ75AL50SA",""
"35","1","U4","LN3435","Pixels-dice:LN3406","Pixels-dice:SOT-23-5","","NO","NATLINEAR","LN3435","SMD-U004-ALT1"
"36","1","U5","MCP73832T-2ACI/OT","Pixels-dice:MCP73831-2-OT-battery_management","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","NO","Microchip","MCP73832T-2ACI/OT","SMD-U005"
"37","1","U6","MT9700","Pixels-dice:MT9700","Pixels-dice:SOT-23-5","","NO","XI'AN Aerosemi Tech","MT9700","SMD-U006-ALT2"
"38","1","U7","74AHC1G08","Pixels-dice:74AHC1G08","Pixels-dice:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","YES","Texas Instruments","SN74AHC1G08DCKR","SMD-U007"
"39","1","U8","TMR1366","Pixels-dice:TMR1366","Package_TO_SOT_SMD:SOT-23","","NO","Multi Dimension","TMR1366S","SMD-U008-ALT8"
"40","1","W1","RXI","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"41","1","W2","TXO","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"42","1","W5","LED_EN","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"43","1","W7","ACC_INT","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"44","1","W8","SCL","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"45","1","W9","SDA","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"46","1","W12","VLED_S","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"47","1","W13","5V_S","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"48","1","W14","BATT","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"49","1","W15","+5V","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"50","1","W16","VIN","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"51","1","W17","STAT","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"52","1","W18","FB","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"53","1","W19","GND","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"54","1","W20","VBAT_S","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"55","1","W21","LED2","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"56","1","W22","LED_DATA1","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"57","1","W23","MAG1_","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"58","1","W25","VDD","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"59","1","Y1","32MHz 40ppm","Device:Crystal_GND24","Pixels-dice:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","YES","Murata","XRCGB32M000F2P00R0","SMD-Y001"
